KEY,VALUE
NORTH,N
NORTHEAST,NE
NORTHWEST,NW
SOUTH,S
SOUTHEAST,SE
SOUTHWEST,SW
EAST,E
WEST,W
AVENUE,AVE
BOULEVARD,BLVD
CENTER,CTR
CIRCLE,CIR
COURT,CT
DRIVE,DR
EXPRESSWAY,EXPY
FREEWAY,FWY
HIGHWAY,HWY
JUNCTION,JCT
LANE,LN
MOUNTAIN,MTN
PARKWAY,PKWY
PLACE,PL
ROAD,RD
ROUTE,RTE
STREET,ST
TERRACE,TER
APARTMENT,APT
BUILDING,BLDG
ROOM,RM
SUITE,STE
ACCOUNT,ACCT
ADVERTISING,AD
AGRICULTURE,AG
ALABAMA,AL
ALASKA,AK
AMERICA,AMER
AMERICAN,AMER
AND,&
ARCHITECTS,ARCH
ARIZONA,AZ
ARKANSAS,AR
ASSOCIATED,ASSN
ASSOCIATION,ASSN
ATTORNEY,ATTY
BARBEQUE,BBQ
CALIFORNIA,CA
CENTERS,CTRS
CENTRAL,CNTRL
CHAPTER,CH
CITY,CTY
COLORADO,CO
COMMERCIAL,COMM
COMMISSION,COMM
COMMITTEE,COMM
COMPANIES,COS
COMPANY,CO
COMPREHENSIVE,COMP
CONDITIONING,COND
CONDOMINIUM,CONDO
CONFERENCE,CONF
CONNECTICUT,CT
CONSTRUCT,CONS
CONSTRUCTION,CONS
CONSULTING,CONS
CONVENTION,CONV
CORPORATION,CORP
COUNCIL,CNL
COUNTY,CNTY
DEFENSE,DEF
DELAWARE,DE
DEMOCRAT,DEM
DEPARTMENT,DEPT
DEVELOPMENT,DEV
DISTRIBUTORS,DIST
DISTRICT,DIST
DISTRICT OF COLUMBIA,DC
DIVISION,DIV
DOCTOR,DR
DOCTORS,DRS
ECOLOGY,ECO
EDUCATION,ED
EIGHT,8
EIGHTH,8TH
ELECTRICAL,ELEC
ELEMENTARY,ELEM
ELEVEN,11
ELEVENTH,11TH
EMPLOYEES,EMP
ENGINEERING,ENG
ENTERPRISE,ENT
EQUIPMENT,EQUIP
ESTABLISHED,EST
ESTATE,EST
FABRICATION,FAB
FAMILY,FAM
FEDERAL,FED
FEDERATED,FED
FIFTH,5TH
FINANCIAL,FIN
FIRST,1ST
FIVE,5
FLORIDA,FL
FOUR,4
FOURTEENTH,14TH
FOURTH,4TH
FREIGHT,FRT
FUND,FND
GENERAL,GEN
GENERIC,GEN
GEORGIA,GA
GOVERNMENT,GOVT
GOVERNOR,GOV
GROCERS,GROC
GROUP,GRP
GUAM,GU
GUILD,GLD
HAWAII,HI
HEADQUARTERS,HQ
HIGH SCHOOL,HS
IDAHO,ID
ILLINOIS,IL
INCORPORATED,INC
INDEPENDENT,IND
INDIANA,IN
INFORMATION,INFO
INSURANCE,INS
INTERNATIONAL,INTL
INVESTMENTS,INV
IOWA,IA
JUNIOR,JR
KANSAS,KS
KENTUCKY,KY
LEGISLATIVE,LEG
LIEUTENANT,LT
LIMITED,LTD
LOCAL,LCL
LOUISIANA,LA
MACHINISTS,MACH
MAINE,ME
MAINTENANCE,MAINT
MAJOR,MJR
MANAGEMENT,MGMT
MANUFACTURED,MFG
MANUFACTURERS,MFG
MANUFACTURING,MFG
MARKETING,MKTG
MARYLAND,MD
MASSACHUSETTS,MA
MEDICAL,MED
MEDICAL DOCTOR,MD
METROPOLITAN,MET
MEXICAN,MEX
MICHIGAN,MI
MINNESOTA,MN
MISSISSIPPI,MS
MISSOURI,MO
MISTER,MR
MONTANA,MT
NATIONAL,NATL
NEBRASKA,NE
NEVADA,NV
NEW HAMPSHIRE,NH
NEW JERSEY,NJ
NEW MEXICO,NM
NEW YORK,NY
NINE,9
NINTH,9TH
NORTH CAROLINA,NC
NORTH DAKOTA,ND
OHIO,OH
OKLAHOMA,OK
ONE,1
OPERATING,OP
ORDER,ORD
OREGON,OR
PENNSYLVANIA,PA
PERFORMANCE,PERF
PHYSICIANS,PHYS
POINT,PT
POLICE,POL
POLITICAL ACTION COMMITTEE,PAC
POWER,PWR
PREMIUM,PREM
PROCESSORS,PROC
PROFESSIONAL,PRO
PSYCHOLOGICAL,PSYCH
PUBLIC,PUB
PUBLIC RELATIONS,PR
PUERTO RICO,PR
RANCH,RNCH
REGION,REG
REGIONAL,REG
REPUBLICAN,REP
RESERVATION,RES
RHODE ISLAND,RI
SAINT,ST
SECOND,2ND
SECURITY,SEC
SENATE,SEN
SENATOR,SEN
SENIOR,SR
SERVICE,SVC
SEVEN,7
SEVENTH,7TH
SIX,6
SIXTH,6TH
SOCIETY,SOC
SOUTH CAROLINA,SC
SOUTH DAKOTA,SD
SPECIAL,SPEC
SQUARE,SQ
STATE,ST
STATION,STA
SURGICAL,SURG
SURPLUS,SURPL
SYSTEMS,SYS
TECHNICAL,TECH
TECHNOLOGY,TECH
TEN,10
TENNESSEE,TN
TENTH,10TH
TEXAS,TX
THIRD,3RD
THIRTEENTH,13TH
THREE,3
TRAINING,TRNG
TWELFTH,12TH
TWO,2
UNION,UN
UNITED STATES,US
UTAH,UT
VALLEY,VLY
VEGETABLES,VEG
VERMONT,VT
VIRGINIA,VA
WAREHOUSE,WHSE
WASH,WA
WASHINGTON,WA
WEST VIRGINIA,WV
WESTERN,WSTRN
WISCONSIN,WI
WYOMING,WY
ABIGAIL,ABBY
ADALYNN,ADDIE
ADDISON,ADDIE
ADELAIDE,ADDIE
ADELINE,ADDIE
ALAN,AL
ALBERT,AL
ALLEN,AL
ALEXA,ALEX
ALEXANDER,ALEX
ALEXANDRA,ALEX
ALEXIS,ALEX
ALLIE,ALLY
ALLISON,ALLY
ALTHEA,THEA
ANDY,ANDREW
ANGIE,ANGELA
ANNA,ANN
ANNABELLE,BELLE
ANNE,ANN
ANNIE,ANN
ANTHONY,TONY
ARIANNA,ARIANA
ARTHUR,ART
AUGUST,GUS
AUGUSTUS,GUS
BARBARA,BARB
BEATRICE,BEA
BEATRIX,BEA
BEAU,BO
BECKY,REBECCA
BEE,BEA
BENEDICT,BEN
BENJAMIN,BEN
BETH,ELIZABETH
BETSY,ELIZABETH
BETTE,ELIZABETH
BETTY,ELIZABETH
BEV,BEVERLY
BILL,WILLIAM
BILLY,WILLIAM
BOB,ROBERT
BOBBIE,ROBERT
BOBBY,ROBERT
BRADLEY,BRAD
CALLIE,CAL
CALVIN,CAL
CAMERON,CAM
CAMILLA,CAMILA
CAMMY,CAMILA
CAROLYN,CAROL
CASSIE,CASS
CATHERINE,CAT
CHARLES,CHARLIE
CHARLEY,CHARLIE
CHARLOTTE,CHARLIE
CHRISTIAN,CHRIS
CHRISTINA,CHRIS
CHRISTINE,CHRIS
CHRISTOPHER,CHRIS
CORY,COREY
CYNTHIA,CINDY
DANIEL,DAN
DAVE,DAVID
DEBBIE,DEBRA
DEBORAH,DEBRA
DENNY,DENNIS
DIANE,DIANA
DICK,RICHARD
DOMINICK,DOM
DONALD,DON
DOROTHEA,THEA
DREW,ANDREW
EDDIE,ED
EDIE,EDITH
EDWARD,ED
ELEANOR,NELL
ELLA,ELEANOR
ELLEN,NELL
ELLIE,ELEANOR
EUGENE,GENE
EVA,EVE
EVANGELINE,EVE
EVELYN,EVE
EVIE,EVE
FRANCIS,FRANK
FRANKLIN,FRANK
FREDERICK,FRED
GABRIEL,GABE
GABRIELLA,GABBY
GERALD,JERRY
GREGORY,GREG
HANK,HENRY
HELEN,NELL
HELENA,LENA
ISABEL,BELLE
ISABELLA,BELLA
ISABELLE,BELLE
JACK,JOHN
JACOB,JAKE
JACQUELINE,JACKIE
JAMES,JIM
JAMIE,JAMES
JEANNIE,JEAN
JEFFREY,JEFF
JENNIFER,JENN
JENNY,JENN
JEREMIAH,JERRY
JESS,JESSICA
JESSIE,JESSICA
JIMMY,JIM
JO,JOE
JOHANNA,JOE
JOHNNY,JOHN
JONATHAN,JON
JOSEPH,JOE
JOSEPHINE,JOE
JOSHUA,JOSH
JOSIE,JOE
JUDITH,JUDY
JULES,JULIA
JULIE,JULIA
KATHERINE,KATE
KATHLEEN,KATHY
KATHRYN,KATHY
KENNETH,KEN
KIMBERLY,KIM
LAUREN,LAURA
LAURIE,LAURA
LAWRENCE,LARRY
LEON,LEO
LEONARD,LEO
LEONARDO,LEO
LEOPOLD,LEO
LIAM,WILLIAM
LISA,ELIZABETH
LIZ,ELIZABETH
LORI,LAURA
MACK,MAC
MADELINE,MADDIE
MADELYN,MADDIE
MADISON,MADDIE
MAGGIE,MARGARET
MANDY,AMANDA
MARIE,MARIA
MATTHEW,MATT
MAXIMILIAN,MAX
MAXINE,MAX
MAXWELL,MAX
MIA,MARIA
MISSY,MELISSA
MOLLY,MARY
NATALIE,NAT
NATHAN,NATE
NATHANIEL,NATE
NICHOLA,NICKI
NICHOLAS,NICK
NICHOLE,NICKI
NICKIE,NICKI
NICKY,NICKI
NICOLETTE,NICKI
NIKI,NICKI
NIKKI,NICKI
NORA,NELL
OLIVE,OLLIE
OLIVER,OLLIE
OLIVIA,OLLIE
OLLY,OLLIE
PAMELA,PAM
PATRICIA,PAT
PATRICK,PAT
PEG,MARGARET
PENELOPE,PENNY
PHILIP,PHIL
RANDALL,RANDY
RAYMOND,RAY
RICH,RICHARD
ROB,ROBERT
ROBERTA,ROBERT
RONALD,RON
ROSIE,ROSE
SADIE,SARAH
SAMANTHA,SAM
SAMMI,SAM
SAMMY,SAM
SAMUEL,SAM
SANDY,SANDRA
SARA,SARAH
SHARI,SHARON
SHELLY,MICHELLE
SOPHIE,SOPHIA
STEPHEN,STEVE
STEVEN,STEVE
TEDDY,TED
TERRENCE,TERRY
TESS,TERESA
THEO,TED
THEODORA,TED
THEODORE,TED
THERESA,TERESA
THOMAS,TOM
TOMMY,TOM
TY,TYLER
VICKY,VICTORIA
VINCENT,VINCE
WALTER,WALT
WILL,WILLIAM
WINIFRED,WINNIE
ZACHARIAH,ZACK
ZACHARY,ZACK